Date,Open,High,Low,Close,Adj Close,Volume
2020-12-21,0.162004,0.165416,0.147903,0.152656,0.152656,1139902286
2020-12-22,0.152634,0.160015,0.149451,0.156179,0.156179,1138400653
2020-12-23,0.156226,0.157414,0.127420,0.136394,0.136394,1484453887
2020-12-24,0.136457,0.154337,0.132127,0.152883,0.152883,1470292431
2020-12-25,0.152886,0.166846,0.150497,0.157564,0.157564,1119917804
2020-12-26,0.157556,0.161981,0.149824,0.157824,0.157824,1191970341
2020-12-27,0.157835,0.165190,0.150378,0.154422,0.154422,1578354821
2020-12-28,0.154440,0.178583,0.153445,0.176735,0.176735,1732151279
2020-12-29,0.176709,0.196170,0.174039,0.192164,0.192164,2967669490
2020-12-30,0.192022,0.193144,0.175681,0.184040,0.184040,1849432295
2020-12-31,0.184034,0.185749,0.176594,0.181397,0.181397,1132268397
2021-01-01,0.181382,0.184246,0.172022,0.175350,0.175350,1122218004
2021-01-02,0.175359,0.184253,0.169233,0.177423,0.177423,1408849504
2021-01-03,0.177382,0.208679,0.173376,0.204995,0.204995,2303857909
2021-01-04,0.205236,0.239661,0.194450,0.224762,0.224762,3260699086
2021-01-05,0.224817,0.264886,0.208454,0.258314,0.258314,4097207384
2021-01-06,0.258549,0.346298,0.256225,0.331898,0.331898,6170988900
2021-01-07,0.332272,0.353344,0.283216,0.299980,0.299980,5149188552
2021-01-08,0.300387,0.320191,0.266476,0.305597,0.305597,4560690774
2021-01-09,0.305611,0.338596,0.296694,0.332973,0.332973,3655608662
2021-01-10,0.332961,0.340394,0.284556,0.304895,0.304895,3732911206
2021-01-11,0.304996,0.304996,0.233033,0.275466,0.275466,4768803200
2021-01-12,0.275249,0.313370,0.265727,0.287003,0.287003,4037298875
2021-01-13,0.286688,0.314465,0.272395,0.313609,0.313609,2656935144
2021-01-14,0.313546,0.323552,0.299800,0.310396,0.310396,2686785564
2021-01-15,0.310554,0.329685,0.280742,0.302530,0.302530,3171984602
2021-01-16,0.302512,0.365411,0.302250,0.352444,0.352444,4476161885
2021-01-17,0.352337,0.395653,0.342834,0.379852,0.379852,5617481334
2021-01-18,0.379735,0.395443,0.366233,0.371428,0.371428,3480282508
2021-01-19,0.371457,0.382987,0.363624,0.369137,0.369137,2957453653
2021-01-20,0.368936,0.376197,0.331958,0.375394,0.375394,3281600988
2021-01-21,0.375449,0.378716,0.301401,0.310209,0.310209,3567902823
2021-01-22,0.310054,0.359159,0.283576,0.349577,0.349577,4066222238
2021-01-23,0.349332,0.357211,0.336701,0.345643,0.345643,2781033956
2021-01-24,0.345586,0.368639,0.338756,0.353881,0.353881,2539663711
2021-01-25,0.353850,0.363512,0.341663,0.343886,0.343886,2339817092
2021-01-26,0.343841,0.349753,0.325815,0.344234,0.344234,2557745015
2021-01-27,0.344218,0.344218,0.305461,0.313080,0.313080,2666764973
2021-01-28,0.313021,0.335361,0.306104,0.333303,0.333303,2980005125
2021-01-29,0.352348,0.366772,0.332015,0.348131,0.348131,3367098095
2021-01-30,0.348078,0.372720,0.337469,0.362619,0.362619,2866173269
2021-01-31,0.362608,0.375405,0.338952,0.344898,0.344898,2455679992
2021-02-01,0.344817,0.417152,0.334194,0.402033,0.402033,3838085989
2021-02-02,0.402952,0.452595,0.388787,0.426247,0.426247,6504904709
2021-02-03,0.425959,0.447355,0.415046,0.441400,0.441400,3648896567
2021-02-04,0.441357,0.447014,0.410158,0.441051,0.441051,3553059568
2021-02-05,0.441142,0.556724,0.439556,0.537874,0.537874,6808411307
2021-02-06,0.537758,0.657628,0.522974,0.627886,0.627886,8109402422
2021-02-07,0.628832,0.702539,0.586949,0.663238,0.663238,11252055620
2021-02-08,0.662380,0.719411,0.634283,0.682511,0.682511,9056514741
2021-02-09,0.682145,0.709040,0.669399,0.703516,0.703516,5885048712
2021-02-10,0.703548,0.943893,0.703548,0.930318,0.930318,12667653585
2021-02-11,0.930823,0.973325,0.871950,0.927741,0.927741,10627183208
2021-02-12,0.927095,0.945056,0.871123,0.925587,0.925587,8035829513
2021-02-13,0.925421,0.949950,0.833003,0.905719,0.905719,7532474270
2021-02-14,0.906330,0.914596,0.815201,0.848419,0.848419,7159401195
2021-02-15,0.847825,0.908158,0.717115,0.861012,0.861012,8979888270
2021-02-16,0.860703,0.904206,0.840923,0.870951,0.870951,6948621246
2021-02-17,0.870910,0.895954,0.826491,0.890920,0.890920,5841828077
2021-02-18,0.890869,0.956904,0.890869,0.914119,0.914119,4918032802
2021-02-19,0.914256,0.943777,0.885282,0.927649,0.927649,4582877243
2021-02-20,0.927462,1.193958,0.916921,1.122958,1.122958,11454890463
2021-02-21,1.121584,1.149899,1.079321,1.100520,1.100520,7042361464
2021-02-22,1.100406,1.134158,0.851531,1.099151,1.099151,10562051439
2021-02-23,1.098769,1.133705,0.824145,0.954709,0.954709,11201900117
2021-02-24,0.954958,1.074832,0.902583,1.051657,1.051657,8481334623
2021-02-25,1.051349,1.172732,1.017986,1.079116,1.079116,8248286269
2021-02-26,1.080828,1.290047,0.995150,1.241105,1.241105,14884142109
2021-02-27,1.242145,1.476653,1.234138,1.324860,1.324860,19141980288
2021-02-28,1.323619,1.361114,1.166092,1.308059,1.308059,15732556180
2021-03-01,1.309792,1.342408,1.239300,1.292388,1.292388,9775330113
2021-03-02,1.293609,1.299627,1.188732,1.225582,1.225582,8118255106
2021-03-03,1.225719,1.263525,1.214234,1.216593,1.216593,4937160429
2021-03-04,1.216445,1.229674,1.069218,1.114868,1.114868,7164490225
2021-03-05,1.114639,1.195125,1.041156,1.168523,1.168523,7325099027
2021-03-06,1.167456,1.180720,1.090132,1.131012,1.131012,5348048001
2021-03-07,1.130849,1.142286,1.108308,1.133367,1.133367,4204795554
2021-03-08,1.132939,1.176217,1.107921,1.118053,1.118053,3557114310
2021-03-09,1.118145,1.214923,1.113320,1.195161,1.195161,5317733185
2021-03-10,1.195103,1.204682,1.123970,1.135003,1.135003,4215428913
2021-03-11,1.134413,1.138250,1.111643,1.124790,1.124790,3633460869
2021-03-12,1.124823,1.128085,1.032750,1.039144,1.039144,4224893051
2021-03-13,1.038894,1.182899,0.993052,1.103314,1.103314,5871086058
2021-03-14,1.102982,1.102982,1.059154,1.059154,1.059154,3738147940
2021-03-15,1.058601,1.068913,1.007628,1.033539,1.033539,4545451677
2021-03-16,1.033242,1.258886,1.004308,1.242953,1.242953,9502962157
2021-03-17,1.243555,1.419344,1.206662,1.378673,1.378673,10046495758
2021-03-18,1.378416,1.473155,1.237366,1.239006,1.239006,11392835545
2021-03-19,1.238559,1.342355,1.196046,1.302170,1.302170,7970282918
2021-03-20,1.301472,1.313273,1.206541,1.206541,1.206541,4316999916
2021-03-21,1.206431,1.244282,1.164746,1.189140,1.189140,4064084727
2021-03-22,1.189203,1.208550,1.089628,1.109874,1.109874,4058067310
2021-03-23,1.109343,1.174177,1.088027,1.121552,1.121552,4609407773
2021-03-24,1.121345,1.163652,1.056555,1.075002,1.075002,3759287517
2021-03-25,1.074466,1.152968,1.055945,1.101574,1.101574,5732698268
2021-03-26,1.101425,1.279076,1.098956,1.213969,1.213969,6325795912
2021-03-27,1.214082,1.236277,1.163149,1.176577,1.176577,3106871131
2021-03-28,1.176820,1.219583,1.169294,1.191124,1.191124,2397009016
2021-03-29,1.190976,1.228019,1.181512,1.202541,1.202541,2554597106
2021-03-30,1.202562,1.233722,1.191645,1.213317,1.213317,2517422843
2021-03-31,1.213675,1.213675,1.167720,1.193264,1.193264,3190463749
2021-04-01,1.193553,1.207719,1.184130,1.189244,1.189244,2309789364
2021-04-02,1.189208,1.245915,1.187607,1.196509,1.196509,2909026267
2021-04-03,1.196326,1.244183,1.171635,1.173277,1.173277,3355350115
2021-04-04,1.172973,1.199748,1.166279,1.191420,1.191420,2166855014
2021-04-05,1.191552,1.226746,1.176512,1.214300,1.214300,2992739340
2021-04-06,1.214279,1.340895,1.195389,1.255354,1.255354,6301229657
2021-04-07,1.255457,1.291087,1.165118,1.175149,1.175149,4771395490
2021-04-08,1.176132,1.223793,1.173156,1.219436,1.219436,2315835365
2021-04-09,1.219454,1.228980,1.194931,1.203540,1.203540,1678933674
2021-04-10,1.203533,1.251920,1.196311,1.218758,1.218758,2481275569
2021-04-11,1.218359,1.292287,1.200776,1.266735,1.266735,3636786443
2021-04-12,1.266206,1.346588,1.265474,1.316127,1.316127,4918248258
2021-04-13,1.314895,1.437677,1.283793,1.411786,1.411786,5896543066
2021-04-14,1.410999,1.557761,1.353006,1.455420,1.455420,9596107541
2021-04-15,1.453804,1.494799,1.415393,1.481588,1.481588,5337358369
2021-04-16,1.479627,1.518984,1.339908,1.416949,1.416949,5692183858
2021-04-17,1.413843,1.456151,1.368059,1.384869,1.384869,4058018560
2021-04-18,1.386181,1.397696,1.098977,1.275501,1.275501,7454680286
2021-04-19,1.278005,1.322387,1.174248,1.197959,1.197959,5665978235
2021-04-20,1.194609,1.280693,1.130647,1.265934,1.265934,4855633658
2021-04-21,1.267735,1.286464,1.200816,1.206735,1.206735,4078624182
2021-04-22,1.203901,1.277444,1.117599,1.147017,1.147017,4693396293
2021-04-23,1.145824,1.165576,0.935227,1.155702,1.155702,7196378408
2021-04-24,1.158783,1.196284,1.096960,1.101355,1.101355,3566224272
2021-04-25,1.102703,1.146124,1.022775,1.088250,1.088250,2465672138
2021-04-26,1.090186,1.249876,1.082105,1.234019,1.234019,3201086934
2021-04-27,1.237595,1.329766,1.224979,1.306927,1.306927,2985492683
2021-04-28,1.305966,1.348198,1.235215,1.335666,1.335666,2981476669
2021-04-29,1.337107,1.410331,1.267940,1.308014,1.308014,3997566407
2021-04-30,1.306196,1.369041,1.287837,1.352449,1.352449,2691072833
2021-05-01,1.352431,1.367415,1.319063,1.353071,1.353071,2030816122
2021-05-02,1.351402,1.354889,1.295577,1.326812,1.326812,1994291746
2021-05-03,1.326938,1.379790,1.322527,1.362030,1.362030,2398404766
2021-05-04,1.362939,1.365681,1.258929,1.274111,1.274111,3342089372
2021-05-05,1.270986,1.493424,1.260830,1.475529,1.475529,4797068103
2021-05-06,1.478110,1.699504,1.433800,1.650124,1.650124,10679657004
2021-05-07,1.648683,1.745329,1.530229,1.653453,1.653453,7324573762
2021-05-08,1.654544,1.654544,1.564084,1.619554,1.619554,3959173109
2021-05-09,1.620347,1.829795,1.575998,1.770562,1.770562,8065503276
2021-05-10,1.766068,1.822609,1.529308,1.644696,1.644696,6463330466
2021-05-11,1.641717,1.778112,1.596676,1.764077,1.764077,5428571805
2021-05-12,1.763505,1.818942,1.552775,1.552775,1.552775,5338469591
2021-05-13,1.568450,1.969934,1.505321,1.933668,1.933668,14513419581
2021-05-14,1.927283,2.042103,1.817152,2.004796,2.004796,7654204713
2021-05-15,2.006624,2.371752,1.966524,2.174027,2.174027,15517858775
2021-05-16,2.171434,2.461766,2.013285,2.309113,2.309113,12524150427
2021-05-17,2.300190,2.325002,1.925520,2.032226,2.032226,11250259740
2021-05-18,2.028103,2.150382,1.979631,2.003662,2.003662,6744829200
2021-05-19,2.006584,2.028092,1.028031,1.482521,1.482521,16313794033
2021-05-20,1.471961,1.943229,1.327412,1.810469,1.810469,11788522531
2021-05-21,1.802594,1.868630,1.326776,1.552277,1.552277,9055414507
2021-05-22,1.553113,1.601020,1.377943,1.463622,1.463622,6572397780
2021-05-23,1.465680,1.539640,1.056036,1.325436,1.325436,9297651823
2021-05-24,1.316236,1.597913,1.270361,1.549485,1.549485,7365907636
2021-05-25,1.550373,1.648563,1.439744,1.555369,1.555369,5723130829
2021-05-26,1.554463,1.832433,1.554463,1.782702,1.782702,6638876193
2021-05-27,1.781137,1.790477,1.612414,1.645960,1.645960,4266751905
2021-05-28,1.650636,1.677707,1.452245,1.511987,1.511987,5373114660
2021-05-29,1.513623,1.561741,1.335859,1.406232,1.406232,3902596499
2021-05-30,1.404303,1.688977,1.351820,1.577279,1.577279,4974774760
2021-05-31,1.575644,1.750620,1.527209,1.742778,1.742778,4491096277
2021-06-01,1.738447,1.779591,1.660549,1.734753,1.734753,4123980990
2021-06-02,1.736103,1.803849,1.719255,1.752824,1.752824,3453620094
2021-06-03,1.754643,1.888650,1.717762,1.840471,1.840471,3443770332
2021-06-04,1.846715,1.848485,1.609734,1.710908,1.710908,4583062567
2021-06-05,1.709916,1.783177,1.611715,1.659009,1.659009,2969362191
2021-06-06,1.656461,1.706524,1.647702,1.678248,1.678248,1748045655
2021-06-07,1.677226,1.740569,1.557106,1.564106,1.564106,2644319967
2021-06-08,1.567051,1.594298,1.402785,1.588030,1.588030,4318242183
2021-06-09,1.583486,1.630414,1.485165,1.624826,1.624826,3551319865
2021-06-10,1.627778,1.635973,1.508578,1.531857,1.531857,2366588153
2021-06-11,1.533137,1.546059,1.420852,1.436378,1.436378,2477031735
2021-06-12,1.437721,1.493530,1.358179,1.480220,1.480220,2801038421
2021-06-13,1.480494,1.578513,1.402935,1.558359,1.558359,2785909000
2021-06-14,1.557019,1.592704,1.510411,1.575110,1.575110,2543903347
2021-06-15,1.573870,1.611401,1.545383,1.597756,1.597756,2553205553
2021-06-16,1.556580,1.575438,1.475047,1.482573,1.482573,2139361752
2021-06-17,1.484558,1.538465,1.459475,1.482194,1.482194,1731974000
2021-06-18,1.482789,1.493233,1.379673,1.415396,1.415396,2128905021
2021-06-19,1.417603,1.442877,1.386422,1.390570,1.390570,1829155405
2021-06-20,1.387408,1.460376,1.308951,1.429188,1.429188,2319196952
2021-06-21,1.427028,1.436257,1.170604,1.177480,1.177480,3987752749
2021-06-22,1.175233,1.263039,1.002985,1.153254,1.153254,5960971784
2021-06-23,1.155804,1.305561,1.111894,1.252896,1.252896,4931021068
2021-06-24,1.251410,1.398589,1.206899,1.356087,1.356087,3368353999
2021-06-25,1.359522,1.392683,1.245304,1.256478,1.256478,4343177013
2021-06-26,1.254301,1.291396,1.198573,1.250440,1.250440,3241467640
2021-06-27,1.251827,1.348168,1.243678,1.335202,1.335202,2371576551
2021-06-28,1.337114,1.349285,1.305406,1.324752,1.324752,2292440816
2021-06-29,1.325513,1.419944,1.320304,1.368437,1.368437,2589787987
2021-06-30,1.372968,1.398117,1.287063,1.383472,1.383472,2591116345
2021-07-01,1.383814,1.383814,1.304074,1.335611,1.335611,2002167965
2021-07-02,1.332942,1.394397,1.286607,1.394397,1.394397,2159409781
2021-07-03,1.394152,1.441714,1.359664,1.406836,1.406836,2028094099
2021-07-04,1.404008,1.493717,1.382153,1.458184,1.458184,1806362471
2021-07-05,1.461221,1.461221,1.379284,1.404898,1.404898,1759460737
2021-07-06,1.404712,1.456887,1.393282,1.418053,1.418053,1477699691
2021-07-07,1.416153,1.440113,1.401327,1.403118,1.403118,1349405773
2021-07-08,1.404964,1.406497,1.320428,1.330146,1.330146,1580104997
2021-07-09,1.327267,1.371523,1.288597,1.349474,1.349474,1566915921
2021-07-10,1.350715,1.364834,1.320597,1.336085,1.336085,1102564201
2021-07-11,1.335172,1.366351,1.324434,1.348145,1.348145,870305644
2021-07-12,null,null,null,null,null,null
2021-07-13,1.308288,1.316165,1.303683,1.312721,1.312721,1211264640
